Inter-Session(Subject) Cross-Validation Results

Final Accuracy:
0.5093

Detailed Classification Report:
              precision    recall  f1-score   support

           0     0.5029    0.5535    0.5269       318
           1     0.5170    0.4663    0.4903       326

    accuracy                         0.5093       644
   macro avg     0.5099    0.5099    0.5086       644
weighted avg     0.5100    0.5093    0.5084       644

False Positive Rate (FPR): 0.4465
True Positive Rate (TPR): 0.4663

Prediction Details (file-level):
Sample 1: Predicted=1, Actual=0 (Incorrect)
Sample 522: Predicted=1, Actual=0 (Incorrect)
Sample 523: Predicted=0, Actual=1 (Incorrect)
Sample 524: Predicted=0, Actual=1 (Incorrect)
Sample 525: Predicted=1, Actual=1 (Correct)
Sample 526: Predicted=1, Actual=0 (Incorrect)
Sample 527: Predicted=0, Actual=1 (Incorrect)
Sample 528: Predicted=1, Actual=0 (Incorrect)
Sample 529: Predicted=1, Actual=1 (Correct)
Sample 530: Predicted=0, Actual=0 (Correct)
Sample 531: Predicted=0, Actual=0 (Correct)
Sample 532: Predicted=0, Actual=1 (Incorrect)
Sample 533: Predicted=0, Actual=0 (Correct)
Sample 534: Predicted=1, Actual=1 (Correct)
Sample 535: Predicted=1, Actual=0 (Incorrect)
Sample 536: Predicted=0, Actual=1 (Incorrect)
Sample 537: Predicted=1, Actual=0 (Incorrect)
Sample 538: Predicted=0, Actual=0 (Correct)
Sample 539: Predicted=1, Actual=1 (Correct)
Sample 540: Predicted=1, Actual=0 (Incorrect)
Sample 541: Predicted=1, Actual=1 (Correct)
Sample 542: Predicted=1, Actual=1 (Correct)
Sample 543: Predicted=0, Actual=0 (Correct)
Sample 544: Predicted=1, Actual=0 (Incorrect)
Sample 545: Predicted=1, Actual=1 (Correct)
Sample 546: Predicted=0, Actual=1 (Incorrect)
Sample 547: Predicted=1, Actual=1 (Correct)
Sample 548: Predicted=1, Actual=0 (Incorrect)
Sample 549: Predicted=0, Actual=0 (Correct)
Sample 550: Predicted=0, Actual=1 (Incorrect)
Sample 551: Predicted=0, Actual=1 (Incorrect)
Sample 552: Predicted=1, Actual=1 (Correct)
Sample 553: Predicted=0, Actual=0 (Correct)
Sample 554: Predicted=0, Actual=1 (Incorrect)
Sample 555: Predicted=1, Actual=0 (Incorrect)
Sample 556: Predicted=1, Actual=1 (Correct)
Sample 557: Predicted=1, Actual=1 (Correct)
Sample 558: Predicted=1, Actual=1 (Correct)
Sample 559: Predicted=1, Actual=0 (Incorrect)
Sample 560: Predicted=1, Actual=1 (Correct)
Sample 561: Predicted=0, Actual=0 (Correct)
Sample 562: Predicted=0, Actual=0 (Correct)
Sample 563: Predicted=0, Actual=0 (Correct)
Sample 564: Predicted=1, Actual=1 (Correct)
Sample 565: Predicted=0, Actual=0 (Correct)
Sample 566: Predicted=1, Actual=0 (Incorrect)
Sample 567: Predicted=0, Actual=0 (Correct)
Sample 568: Predicted=1, Actual=1 (Correct)
Sample 569: Predicted=0, Actual=0 (Correct)
Sample 570: Predicted=1, Actual=1 (Correct)
Sample 571: Predicted=0, Actual=0 (Correct)
Sample 572: Predicted=0, Actual=1 (Incorrect)
Sample 573: Predicted=1, Actual=1 (Correct)
Sample 574: Predicted=1, Actual=1 (Correct)
Sample 575: Predicted=0, Actual=0 (Correct)
Sample 576: Predicted=0, Actual=0 (Correct)
Sample 577: Predicted=1, Actual=0 (Incorrect)
Sample 578: Predicted=1, Actual=1 (Correct)
Sample 579: Predicted=0, Actual=1 (Incorrect)
Sample 580: Predicted=0, Actual=1 (Incorrect)
Sample 581: Predicted=0, Actual=0 (Correct)
Sample 582: Predicted=0, Actual=1 (Incorrect)
Sample 583: Predicted=1, Actual=1 (Correct)
Sample 584: Predicted=0, Actual=0 (Correct)
Sample 585: Predicted=1, Actual=0 (Incorrect)
Sample 586: Predicted=0, Actual=0 (Correct)
Sample 587: Predicted=0, Actual=0 (Correct)
Sample 588: Predicted=0, Actual=1 (Incorrect)
Sample 589: Predicted=0, Actual=0 (Correct)
Sample 590: Predicted=1, Actual=0 (Incorrect)
Sample 591: Predicted=1, Actual=0 (Incorrect)
Sample 592: Predicted=0, Actual=1 (Incorrect)
Sample 593: Predicted=0, Actual=1 (Incorrect)
Sample 594: Predicted=0, Actual=0 (Correct)
Sample 595: Predicted=1, Actual=1 (Correct)
Sample 596: Predicted=0, Actual=0 (Correct)
Sample 597: Predicted=1, Actual=1 (Correct)
Sample 598: Predicted=1, Actual=0 (Incorrect)
Sample 599: Predicted=1, Actual=0 (Incorrect)
Sample 600: Predicted=0, Actual=1 (Incorrect)
Sample 601: Predicted=0, Actual=1 (Incorrect)
Sample 602: Predicted=0, Actual=0 (Correct)
Sample 603: Predicted=1, Actual=0 (Incorrect)
Sample 604: Predicted=1, Actual=1 (Correct)
Sample 605: Predicted=0, Actual=0 (Correct)
Sample 606: Predicted=0, Actual=1 (Incorrect)
Sample 607: Predicted=0, Actual=1 (Incorrect)
Sample 608: Predicted=0, Actual=1 (Incorrect)
Sample 609: Predicted=0, Actual=1 (Incorrect)
Sample 610: Predicted=0, Actual=1 (Incorrect)
Sample 611: Predicted=1, Actual=1 (Correct)
Sample 612: Predicted=0, Actual=0 (Correct)
Sample 613: Predicted=0, Actual=0 (Correct)
Sample 614: Predicted=1, Actual=1 (Correct)
Sample 615: Predicted=1, Actual=0 (Incorrect)
Sample 616: Predicted=0, Actual=0 (Correct)
Sample 617: Predicted=1, Actual=1 (Correct)
Sample 618: Predicted=0, Actual=0 (Correct)
Sample 619: Predicted=0, Actual=0 (Correct)
Sample 620: Predicted=1, Actual=0 (Incorrect)
Sample 621: Predicted=1, Actual=0 (Incorrect)
Sample 622: Predicted=1, Actual=0 (Incorrect)
Sample 623: Predicted=1, Actual=0 (Incorrect)
Sample 624: Predicted=1, Actual=1 (Correct)
Sample 625: Predicted=0, Actual=1 (Incorrect)
Sample 626: Predicted=1, Actual=0 (Incorrect)
Sample 627: Predicted=1, Actual=0 (Incorrect)
Sample 628: Predicted=1, Actual=1 (Correct)
Sample 629: Predicted=0, Actual=1 (Incorrect)
Sample 630: Predicted=0, Actual=1 (Incorrect)
Sample 631: Predicted=0, Actual=0 (Correct)
Sample 632: Predicted=1, Actual=0 (Incorrect)
Sample 633: Predicted=1, Actual=0 (Incorrect)
Sample 634: Predicted=1, Actual=1 (Correct)
Sample 635: Predicted=1, Actual=1 (Correct)
Sample 636: Predicted=0, Actual=1 (Incorrect)
Sample 637: Predicted=0, Actual=1 (Incorrect)
Sample 638: Predicted=0, Actual=1 (Incorrect)
Sample 639: Predicted=0, Actual=0 (Correct)
Sample 640: Predicted=1, Actual=1 (Correct)
Sample 641: Predicted=1, Actual=1 (Correct)
Sample 642: Predicted=0, Actual=0 (Correct)
Sample 643: Predicted=0, Actual=1 (Incorrect)
Sample 644: Predicted=1, Actual=0 (Incorrect)
