Inter-Session(Subject) Cross-Validation Results

Final Accuracy:
0.5450

Detailed Classification Report:
              precision    recall  f1-score   support

           0     0.5598    0.3679    0.4440       318
           1     0.5379    0.7178    0.6150       326

    accuracy                         0.5450       644
   macro avg     0.5489    0.5429    0.5295       644
weighted avg     0.5487    0.5450    0.5306       644

False Positive Rate (FPR): 0.6321
True Positive Rate (TPR): 0.7178

Prediction Details (file-level):
Sample 1: Predicted=0, Actual=0 (Correct)
Sample 523: Predicted=1, Actual=1 (Correct)
Sample 524: Predicted=1, Actual=1 (Correct)
Sample 525: Predicted=1, Actual=1 (Correct)
Sample 526: Predicted=0, Actual=0 (Correct)
Sample 527: Predicted=1, Actual=1 (Correct)
Sample 528: Predicted=1, Actual=0 (Incorrect)
Sample 529: Predicted=1, Actual=1 (Correct)
Sample 530: Predicted=1, Actual=0 (Incorrect)
Sample 531: Predicted=1, Actual=0 (Incorrect)
Sample 532: Predicted=1, Actual=1 (Correct)
Sample 533: Predicted=1, Actual=0 (Incorrect)
Sample 534: Predicted=1, Actual=1 (Correct)
Sample 535: Predicted=1, Actual=0 (Incorrect)
Sample 536: Predicted=1, Actual=1 (Correct)
Sample 537: Predicted=0, Actual=0 (Correct)
Sample 538: Predicted=0, Actual=0 (Correct)
Sample 539: Predicted=1, Actual=1 (Correct)
Sample 540: Predicted=0, Actual=0 (Correct)
Sample 541: Predicted=1, Actual=1 (Correct)
Sample 542: Predicted=1, Actual=1 (Correct)
Sample 543: Predicted=1, Actual=0 (Incorrect)
Sample 544: Predicted=1, Actual=0 (Incorrect)
Sample 545: Predicted=1, Actual=1 (Correct)
Sample 546: Predicted=1, Actual=1 (Correct)
Sample 547: Predicted=1, Actual=1 (Correct)
Sample 548: Predicted=0, Actual=0 (Correct)
Sample 549: Predicted=1, Actual=0 (Incorrect)
Sample 550: Predicted=1, Actual=1 (Correct)
Sample 551: Predicted=1, Actual=1 (Correct)
Sample 552: Predicted=1, Actual=1 (Correct)
Sample 553: Predicted=0, Actual=0 (Correct)
Sample 554: Predicted=0, Actual=1 (Incorrect)
Sample 555: Predicted=0, Actual=0 (Correct)
Sample 556: Predicted=1, Actual=1 (Correct)
Sample 557: Predicted=1, Actual=1 (Correct)
Sample 558: Predicted=1, Actual=1 (Correct)
Sample 559: Predicted=0, Actual=0 (Correct)
Sample 560: Predicted=1, Actual=1 (Correct)
Sample 561: Predicted=1, Actual=0 (Incorrect)
Sample 562: Predicted=1, Actual=0 (Incorrect)
Sample 563: Predicted=0, Actual=0 (Correct)
Sample 564: Predicted=1, Actual=1 (Correct)
Sample 565: Predicted=1, Actual=0 (Incorrect)
Sample 566: Predicted=1, Actual=0 (Incorrect)
Sample 567: Predicted=0, Actual=0 (Correct)
Sample 568: Predicted=0, Actual=1 (Incorrect)
Sample 569: Predicted=1, Actual=0 (Incorrect)
Sample 570: Predicted=1, Actual=1 (Correct)
Sample 571: Predicted=1, Actual=0 (Incorrect)
Sample 572: Predicted=1, Actual=1 (Correct)
Sample 573: Predicted=1, Actual=1 (Correct)
Sample 574: Predicted=0, Actual=1 (Incorrect)
Sample 575: Predicted=1, Actual=0 (Incorrect)
Sample 576: Predicted=1, Actual=0 (Incorrect)
Sample 577: Predicted=1, Actual=0 (Incorrect)
Sample 578: Predicted=1, Actual=1 (Correct)
Sample 579: Predicted=1, Actual=1 (Correct)
Sample 580: Predicted=1, Actual=1 (Correct)
Sample 581: Predicted=1, Actual=0 (Incorrect)
Sample 582: Predicted=1, Actual=1 (Correct)
Sample 583: Predicted=1, Actual=1 (Correct)
Sample 584: Predicted=1, Actual=0 (Incorrect)
Sample 585: Predicted=1, Actual=0 (Incorrect)
Sample 586: Predicted=0, Actual=0 (Correct)
Sample 587: Predicted=0, Actual=0 (Correct)
Sample 588: Predicted=1, Actual=1 (Correct)
Sample 589: Predicted=0, Actual=0 (Correct)
Sample 590: Predicted=0, Actual=0 (Correct)
Sample 591: Predicted=1, Actual=0 (Incorrect)
Sample 592: Predicted=1, Actual=1 (Correct)
Sample 593: Predicted=1, Actual=1 (Correct)
Sample 594: Predicted=1, Actual=0 (Incorrect)
Sample 595: Predicted=1, Actual=1 (Correct)
Sample 596: Predicted=0, Actual=0 (Correct)
Sample 597: Predicted=0, Actual=1 (Incorrect)
Sample 598: Predicted=1, Actual=0 (Incorrect)
Sample 599: Predicted=1, Actual=0 (Incorrect)
Sample 600: Predicted=1, Actual=1 (Correct)
Sample 601: Predicted=1, Actual=1 (Correct)
Sample 602: Predicted=0, Actual=0 (Correct)
Sample 603: Predicted=1, Actual=0 (Incorrect)
Sample 604: Predicted=1, Actual=1 (Correct)
Sample 605: Predicted=1, Actual=0 (Incorrect)
Sample 606: Predicted=1, Actual=1 (Correct)
Sample 607: Predicted=0, Actual=1 (Incorrect)
Sample 608: Predicted=1, Actual=1 (Correct)
Sample 609: Predicted=1, Actual=1 (Correct)
Sample 610: Predicted=1, Actual=1 (Correct)
Sample 611: Predicted=0, Actual=1 (Incorrect)
Sample 612: Predicted=0, Actual=0 (Correct)
Sample 613: Predicted=1, Actual=0 (Incorrect)
Sample 614: Predicted=1, Actual=1 (Correct)
Sample 615: Predicted=1, Actual=0 (Incorrect)
Sample 616: Predicted=1, Actual=0 (Incorrect)
Sample 617: Predicted=0, Actual=1 (Incorrect)
Sample 618: Predicted=0, Actual=0 (Correct)
Sample 619: Predicted=1, Actual=0 (Incorrect)
Sample 620: Predicted=0, Actual=0 (Correct)
Sample 621: Predicted=1, Actual=0 (Incorrect)
Sample 622: Predicted=0, Actual=0 (Correct)
Sample 623: Predicted=0, Actual=0 (Correct)
Sample 624: Predicted=1, Actual=1 (Correct)
Sample 625: Predicted=1, Actual=1 (Correct)
Sample 626: Predicted=0, Actual=0 (Correct)
Sample 627: Predicted=0, Actual=0 (Correct)
Sample 628: Predicted=1, Actual=1 (Correct)
Sample 629: Predicted=1, Actual=1 (Correct)
Sample 630: Predicted=1, Actual=1 (Correct)
Sample 631: Predicted=1, Actual=0 (Incorrect)
Sample 632: Predicted=1, Actual=0 (Incorrect)
Sample 633: Predicted=1, Actual=0 (Incorrect)
Sample 634: Predicted=1, Actual=1 (Correct)
Sample 635: Predicted=0, Actual=1 (Incorrect)
Sample 636: Predicted=1, Actual=1 (Correct)
Sample 637: Predicted=1, Actual=1 (Correct)
Sample 638: Predicted=1, Actual=1 (Correct)
Sample 639: Predicted=0, Actual=0 (Correct)
Sample 640: Predicted=1, Actual=1 (Correct)
Sample 641: Predicted=1, Actual=1 (Correct)
Sample 642: Predicted=1, Actual=0 (Incorrect)
Sample 643: Predicted=1, Actual=1 (Correct)
Sample 644: Predicted=1, Actual=0 (Incorrect)
